,COREF,start_token,end_token,prop,cat,text,character_name
4585,20,35019,35019,PRON,PER,his,Mr. Ebenezer Scrooge
4588,63,35063,35063,PROP,PER,Fred,Fred
4589,20,35067,35067,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4590,20,35074,35074,PRON,PER,his,Mr. Ebenezer Scrooge
4592,20,35080,35080,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4594,20,35099,35099,PRON,PER,he,Mr. Ebenezer Scrooge
4595,63,35113,35113,PRON,PER,my,Fred
4596,63,35118,35118,PROP,PER,Fred,Fred
4597,63,35130,35130,PRON,PER,Your,Fred
4599,20,35132,35132,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4600,20,35134,35134,PRON,PER,I,Mr. Ebenezer Scrooge
4601,63,35141,35141,PRON,PER,you,Fred
4602,20,35143,35143,PRON,PER,me,Mr. Ebenezer Scrooge
4603,63,35146,35146,PROP,PER,Fred,Fred
4604,20,35150,35150,PRON,PER,him,Mr. Ebenezer Scrooge
4605,20,35157,35157,PRON,PER,he,Mr. Ebenezer Scrooge
4606,20,35161,35161,PRON,PER,his,Mr. Ebenezer Scrooge
4607,20,35165,35165,PRON,PER,He,Mr. Ebenezer Scrooge
4609,20,35178,35178,PRON,PER,His,Mr. Ebenezer Scrooge
4611,64,35187,35187,PROP,PER,Topper,Topper
4612,20,35190,35190,PRON,PER,he,Mr. Ebenezer Scrooge
4617,20,35232,35232,PRON,PER,he,Mr. Ebenezer Scrooge
4619,20,35243,35243,PRON,PER,he,Mr. Ebenezer Scrooge
4621,20,35249,35249,PRON,PER,he,Mr. Ebenezer Scrooge
4623,54,35258,35259,PROP,PER,Bob Cratchit,Bob Cratchit
4624,20,35267,35267,PRON,PER,he,Mr. Ebenezer Scrooge
4625,20,35270,35270,PRON,PER,his,Mr. Ebenezer Scrooge
4626,20,35275,35275,PRON,PER,he,Mr. Ebenezer Scrooge
4627,20,35281,35281,PRON,PER,he,Mr. Ebenezer Scrooge
4628,54,35290,35290,PROP,PER,Bob,Bob Cratchit
4629,54,35297,35297,PROP,PER,Bob,Bob Cratchit
4630,54,35299,35299,PRON,PER,He,Bob Cratchit
4631,54,35308,35308,PRON,PER,his,Bob Cratchit
4632,20,35311,35311,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
